text,label_0,label_1,label_2,label_3,label_4,majority_label
The only social responsibility of a company should be to deliver a profit to its shareholders.,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE
The rich are too highly taxed.,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Those with the ability to pay should have access to higher standards of medical care.,AGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE,AGREE,AGREE
Governments should penalise businesses that mislead the public.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE
A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
"Abortion, when the woman’s life is not threatened, should always be illegal.",STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
All authority should be questioned.,STRONGLY AGREE,AGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE
An eye for an eye and a tooth for a tooth.,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE
Schools should not make classroom attendance compulsory.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE
"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.",STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Good parents sometimes have to spank their children.,AGREE,STRONGLY AGREE,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
It’s natural for children to keep some secrets from their parents.,STRONGLY AGREE,AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Possessing marijuana for personal use should not be a criminal offence.,STRONGLY AGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
The prime function of schooling should be to equip the future generation to find jobs.,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE
People with serious inheritable disabilities should not be allowed to reproduce.,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE
The most important thing for children to learn is to accept discipline.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
There are no savage and civilised peoples; there are only different cultures.,AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
"Those who are able to work, and refuse the opportunity, should not expect society’s support.",STRONGLY AGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
"When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.",STRONGLY AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
First-generation immigrants can never be fully integrated within their new country.,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
"What’s good for the most successful corporations is always, ultimately, good for all of us.",STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE
"No broadcasting institution, however independent its content, should receive public funding.",STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE
Our civil liberties are being excessively curbed in the name of counter-terrorism.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE
A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system.,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
"Although the electronic age makes official surveillance easier, only wrongdoers need to be worried.",STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE
The death penalty should be an option for the most serious crimes.,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE
"In a civilised society, one must always have people above to be obeyed and people below to be commanded.",STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Abstract art that doesn’t represent anything shouldn’t be considered art at all.,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE
"In criminal justice, punishment should be more important than rehabilitation.",STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
It is a waste of time to try to rehabilitate some criminals.,STRONGLY AGREE,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE
The businessperson and the manufacturer are more important than the writer and the artist.,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
"Mothers may have careers, but their first duty is to be homemakers.",STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Multinational companies are unethically exploiting the plant genetic resources of developing countries.,AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Making peace with the establishment is an important aspect of maturity.,AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Astrology accurately explains many things.,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
You cannot be moral without being religious.,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Charity is better than social security as a means of helping the genuinely disadvantaged.,AGREE,STRONGLY AGREE,AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE
Some people are naturally unlucky.,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE
It is important that my child’s school instills religious values.,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Sex outside marriage is usually immoral.,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
"A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption.",AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
"Pornography, depicting consenting adults, should be legal for the adult population.",STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE
What goes on in a private bedroom between consenting adults is no business of the state.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
No one can feel naturally homosexual.,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
These days openness about sex has gone too far.,AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE
