text,label_0,label_1,label_2,label_3,label_4,majority_label
The death penalty should be an option for the most serious crimes.,STRONGLY AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
"In a civilised society, one must always have people above to be obeyed and people below to be commanded.",STRONGLY DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE
Abstract art that doesn’t represent anything shouldn’t be considered art at all.,AGREE,STRONGLY AGREE,STRONGLY AGREE,AGREE,AGREE,AGREE
"In criminal justice, punishment should be more important than rehabilitation.",AGREE,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE,AGREE,AGREE
It is a waste of time to try to rehabilitate some criminals.,STRONGLY AGREE,STRONGLY DISAGREE,AGREE,AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
The businessperson and the manufacturer are more important than the writer and the artist.,STRONGLY AGREE,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE
"Mothers may have careers, but their first duty is to be homemakers.",AGREE,AGREE,AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,AGREE
Multinational companies are unethically exploiting the plant genetic resources of developing countries.,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
Making peace with the establishment is an important aspect of maturity.,AGREE,AGREE,AGREE,AGREE,STRONGLY AGREE,AGREE
Astrology accurately explains many things.,STRONGLY DISAGREE,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE
You cannot be moral without being religious.,AGREE,AGREE,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE,AGREE
Charity is better than social security as a means of helping the genuinely disadvantaged.,AGREE,AGREE,STRONGLY DISAGREE,AGREE,AGREE,AGREE
Some people are naturally unlucky.,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
It is important that my child’s school instills religious values.,AGREE,AGREE,AGREE,STRONGLY AGREE,AGREE,AGREE
Sex outside marriage is usually immoral.,AGREE,STRONGLY DISAGREE,AGREE,STRONGLY AGREE,AGREE,AGREE
"A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption.",STRONGLY AGREE,STRONGLY AGREE,AGREE,AGREE,AGREE,AGREE
"Pornography, depicting consenting adults, should be legal for the adult population.",AGREE,AGREE,STRONGLY AGREE,AGREE,AGREE,AGREE
What goes on in a private bedroom between consenting adults is no business of the state.,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
No one can feel naturally homosexual.,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
These days openness about sex has gone too far.,STRONGLY DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE
